GeneSymbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
B4GALNT2	NA	0	NA	0	0	1.40589351302051	NA	NA	0	0	NA	NA	0.204610778215583	NA	0	1.46633245362909	0	NA	1.88539688192163	0	NA	0
B4GALNT3	31.5184687156464	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	22.8203582149694	0	0	0
B4GALNT4	33.0721515648409	NA	0	NA	NA	NA	NA	36.9032874867782	NA	NA	NA	0	NA	28.916010506811	22.74240624351	NA	NA	0	14.7794936642765	0	0	0
B4GALT1	NA	NA	NA	0	0	NA	NA	NA	NA	0	263.657406171977	0	NA	59.105549190608	155.72195623696	NA	NA	NA	NA	NA	NA	0
B4GALT2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.447751784346	100.385006043906	30.0074513698883	NA	NA	NA	NA	1	NA
B4GALT3	NA	0	NA	NA	NA	42.3415903152253	NA	224.704958949356	NA	NA	NA	0	0	63.5883751147175	NA	NA	NA	NA	NA	NA	0	0
B4GALT4	NA	NA	18.0967461048546	NA	NA	10.9182543459655	NA	NA	NA	NA	NA	NA	NA	21.5215917264435	48.1493833836969	10.2414957006538	NA	NA	12.8227017862185	NA	101.421341951155	NA
B4GALT5	NA	0	NA	38.9733090776089	NA	NA	NA	NA	0	0	0	NA	NA	23.8215336361705	72.877057701687	20.8479001941172	0	NA	NA	45.3853730921521	206.658522860146	33.1644836864648
B4GALT6	0	0	4.54619196892947	4.12096357282685	NA	1.25469836831614	0	0	0	NA	NA	15.1699145688322	NA	NA	0	3.64009188326106	0	10.8521043085246	0	NA	52.8201871878689	NA
B4GALT7	NA	NA	14.2556640439812	NA	NA	15.1293425725118	NA	35.1747057713031	NA	65.5948161179713	1	NA	NA	23.3736796898262	19.1739248602291	20.9375947903857	59.0057102133932	1	NA	NA	NA	NA
B9D1	21.4524650900747	0	14.1116172701133	NA	1268.61722314885	8.0328680681317	0	NA	NA	NA	NA	NA	NA	NA	NA	13.695217745971	NA	NA	NA	NA	0	NA
B9D2	NA	NA	NA	6.47777809551332	NA	5.70999738240652	NA	13.6948284107669	1	NA	1	1	NA	6.59540960076578	1	5.3947941122654	22.6054337863283	NA	9.1573386552548	7.90960150241228	1	1
BAALC	0	NA	NA	0	61.7744889035427	NA	NA	0	NA	NA	NA	24.384118818206	NA	0	0	3.29011597895633	NA	0	NA	NA	NA	18.4554895342292
BAAT	1.0914970692003	1.11335097315637	1.03453539066272	1.04552451145323	1	0.972614670582368	0.897539764025856	1.04076828539034	0.948983622305178	1.18637252562563	1.15042727344111	0.976204638604793	1.00954508895292	1.03177262533326	1.12623871611902	1.01248029229237	0.988871851096797	1.11984117478514	0.980253011045105	1.01289337556994	3.04261929817876	1.11253996596574
BACE1	NA	1	15.1938355985632	NA	NA	8.46589591256013	1	NA	NA	1	1	49.1392898816228	NA	10.8384767659389	NA	15.3679417145131	NA	1	NA	1	1	NA
BACE2	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	79.2086184359085	NA	NA	NA	NA	0	NA	NA	NA
BACH1	NA	1	54.4488349763629	44.7343098605275	NA	21.3336659735913	1	1	1	NA	NA	NA	1	NA	NA	27.2819313825401	NA	NA	NA	56.6361943492368	1	43.9701703203136
BACH2	8.96615748079739	NA	7.36365152940007	12.2011097139521	NA	NA	NA	0	0	0	10.4245655869588	NA	0	NA	0	2.02141206640706	0	NA	NA	5.94821802988347	NA	NA
BAD	NA	NA	37.5063716888528	NA	NA	58.1736526624158	NA	89.0113421517381	485.105912421573	NA	NA	NA	69.0525814584039	64.9248017724652	NA	55.1947278530095	249.018359274552	NA	NA	NA	1	NA
BAG1	75.3395326249397	NA	NA	0	NA	NA	NA	NA	NA	0	NA	0	77.6019858689358	NA	NA	20.1430857357434	268.439900325052	NA	NA	NA	0	0
BAG2	NA	0	NA	NA	0	NA	NA	0	0	NA	NA	NA	0	13.3716346997101	NA	9.33542338810958	NA	NA	NA	NA	245.497316618143	20.4400628878316
BAG3	46.1875833980688	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.1426527293942	NA	NA
BAG4	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	48.9127414014688	NA	78.2593297997248	NA	0	NA	NA	NA	NA	NA
BAG5	NA	NA	32.6071953612486	NA	NA	24.3491918775977	1	NA	1	NA	NA	57.8684506847362	NA	19.8425517311405	NA	23.9391984681307	NA	123.448237007021	26.4243836246409	29.0494680305457	NA	43.5411566677756
BAGE	0	NA	0.584028545952804	3.22411536981859	NA	1.79148571983852	0	0.0742336195788564	NA	0	0	NA	0	0.408794453030556	2.9074757710758	1.51296544033663	NA	0	0	0	0	0.611736507815841
BAGE2	0	NA	0	NA	NA	NA	0	NA	NA	0	NA	NA	0	0	NA	NA	NA	0	0	0	NA	NA
BAHCC1	12.8289997669471	0	NA	9.30603323397463	NA	NA	0	NA	NA	0	36.2596803028725	NA	NA	7.09990705503844	0	4.65793934133603	NA	NA	11.1887293314065	13.2847615443272	NA	NA
BAHD1	NA	105.762431624478	11.4915947264613	14.4923506035799	NA	20.8074919959203	NA	21.6794199183867	1	1	1	NA	NA	10.6003886415671	NA	10.29115632666	NA	1	12.0521789841085	NA	1	NA
BAI1	1	NA	2.45234111212097	2.42879771637386	NA	0.989145896550672	1	NA	NA	1	1	NA	1	1.97650242046706	1	1.3826821333917	1	NA	1.56372314933968	1	1	1
BAI2	26.3102080531541	NA	0	0	NA	NA	0	NA	305.899355213715	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	0	0
BAI3	0.370391374793336	NA	2.64254299820325	NA	NA	0.789813911090942	0	0	0	NA	NA	4.87228820029517	0	1.14312912931176	0	1.25435255853002	NA	0	3.43721213380952	3.11907585235756	NA	4.43157485586402
BAIAP2	81.5729734079655	NA	NA	NA	NA	21.0751750177266	0	51.3943875962476	NA	0	NA	0	NA	25.476919687029	NA	11.6791858830808	61.7918551476936	NA	30.7912818396269	NA	0	0
BAIAP2L1	NA	0	NA	34.0170551177162	NA	NA	NA	NA	NA	NA	0	0	NA	43.1754334156157	39.3998927800945	NA	NA	NA	NA	NA	NA	0
BAIAP2L2	0	0	0.969477657787029	NA	0	NA	NA	NA	0	NA	0	NA	0.0438414798324718	5.65328899538645	5.53095942687889	1.55381949961741	NA	NA	NA	0.928625736905227	0	1.67194429487634
BAIAP3	29.8528781724476	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	10.516654969216	NA	0	0
BAK1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	27.2847604311732	45.5266428179394	8.65572178509775	NA	NA	NA	NA	0	NA
BAMBI	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	82.298947480913	NA	0	NA	302.80498241887	NA	NA	0	0
BANF1	NA	NA	NA	51.4812418581413	NA	NA	NA	NA	NA	1	NA	NA	NA	60.2540255913925	NA	15.9598555954201	NA	1	34.0677490238215	NA	NA	1
