"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"HKB0225_3000_N"	"HKB0225_3000_N"	"CE6"	0.00191190428772166	0.00364999909474136	TRUE	"CE6"
"HKB0226_3000_N"	"HKB0226_3000_N"	"CE6"	1.1153295922927e-05	5.51515423135806e-05	TRUE	"CE6"
"HKB0227_3000_N"	"HKB0227_3000_N"	"CE6"	9.81426916605614e-07	1.27533230606607e-05	TRUE	"CE6"
"HKB0538_3000_N"	"HKB0538_3000_N"	"CE6"	0.000124912373712529	0.000324210767725778	TRUE	"CE6"
"HKB0571_3000_N"	"HKB0571_3000_N"	"CE6"	2.35682704850921e-06	1.9443823150201e-05	TRUE	"CE6"
"HKB0574_3000_N"	"HKB0574_3000_N"	"CE6"	3.90526886936222e-06	2.81911596507086e-05	TRUE	"CE6"
"HKB0577_3000_N"	"HKB0577_3000_N"	"CE6"	1.0814090522706e-06	1.27533230606607e-05	TRUE	"CE6"
"HKB0583_3000_N"	"HKB0583_3000_N"	"CE6"	1.7159111839145e-05	7.3402867311898e-05	TRUE	"CE6"
"HKB0618_3000_N"	"HKB0618_3000_N"	"CE6"	4.28887730267814e-07	1.27533230606607e-05	TRUE	"CE6"
"HKB0636_3000_N"	"HKB0636_3000_N"	"CE6"	0.000358995118480077	0.000821068043256413	TRUE	"CE6"
"HKB0648_3000_N"	"HKB0648_3000_N"	"CE6"	1.16807226417423e-05	5.51515423135806e-05	TRUE	"CE6"
"HKB0651_3000_N"	"HKB0651_3000_N"	"CE6"	0.000467148774331273	0.0010277273035288	TRUE	"CE6"
"HKB0657_3000_N"	"HKB0657_3000_N"	"CE6"	2.75195816602104e-05	0.000101457524934893	TRUE	"CE6"
"HKB0663_3000_N"	"HKB0663_3000_N"	"CE6"	1.6805421272709e-06	1.72893693036409e-05	TRUE	"CE6"
"HKB0666_3000_N"	"HKB0666_3000_N"	"CE6"	5.83974942184078e-06	3.53333175525833e-05	TRUE	"CE6"
"HKB0672_3000_N"	"HKB0672_3000_N"	"CE6"	1.41953553845534e-05	6.42966096829771e-05	TRUE	"CE6"
"HKB0710_3001_N"	"HKB0710_3001_N"	"CE6"	1.49388252322353e-05	6.5110728842384e-05	TRUE	"CE6"
"HKB0718_3001_N"	"HKB0718_3001_N"	"CE6"	1.89827033574993e-06	1.75400179023293e-05	TRUE	"CE6"
"HKB0722_3001_N"	"HKB0722_3001_N"	"CE6"	5.84935771990289e-05	0.000168900204162196	TRUE	"CE6"
"HKB0744_3001_N"	"HKB0744_3001_N"	"CE6"	0.000129212842964123	0.000331646296941248	TRUE	"CE6"
"HKB0748_3001_N"	"HKB0748_3001_N"	"CE6"	4.83209432868594e-06	3.2829817350778e-05	TRUE	"CE6"
"HKB0751_3001_N"	"HKB0751_3001_N"	"CE6"	1.15088612005646e-05	5.51515423135806e-05	TRUE	"CE6"
"HKB0752_3001_N"	"HKB0752_3001_N"	"CE6"	8.43901923778522e-05	0.000237733346820535	TRUE	"CE6"
"HKB0159_3006_T"	"HKB0159_3006_T"	"CE7"	0.0588559912754587	0.0663206535835657	TRUE	"CE7"
"HKB0179_3006_T"	"HKB0179_3006_T"	"CE7"	0.0723945832892668	0.078145554858975	TRUE	"CE7"
"HKB0196_3006_T"	"HKB0196_3006_T"	"CE7"	0.0125399099306966	0.018809864896045	TRUE	"CE7"
"HKB0540_3000_T"	"HKB0540_3000_T"	"CE7"	0.0314214050897782	0.0396630851133265	TRUE	"CE7"
"HKB0558_3000_T"	"HKB0558_3000_T"	"CE7"	0.0141365918283398	0.0205380673732484	TRUE	"CE7"
"HKB0599_3000_T"	"HKB0599_3000_T"	"CE7"	0.0137689463789068	0.0201305481868827	TRUE	"CE7"
"HKB0638_3000_T"	"HKB0638_3000_T"	"CE7"	0.0592727184588751	0.0664660095339813	TRUE	"CE7"
"HKB0668_3000_T"	"HKB0668_3000_T"	"CE7"	0.190531707702243	0.193038703856219	TRUE	"CE7"
"HKB0006_3006_T"	"HKB0006_3006_T"	"CE8"	0.017679086769925	0.0247507214778949	TRUE	"CE8"
"HKB0016_3006_T"	"HKB0016_3006_T"	"CE8"	0.00571974995765136	0.00930466366350327	TRUE	"CE8"
"HKB0035_3006_T"	"HKB0035_3006_T"	"CE8"	0.0460640298714158	0.0538565900461515	TRUE	"CE8"
"HKB0078_3000_T"	"HKB0078_3000_T"	"CE8"	0.00532668985069433	0.00878903825364564	TRUE	"CE8"
"HKB0079_3000_N"	"HKB0079_3000_N"	"CE8"	0.0254893103770176	0.0333530425969	TRUE	"CE8"
"HKB0086_3006_T"	"HKB0086_3006_T"	"CE8"	0.0710418549585423	0.0770453919972924	TRUE	"CE8"
"HKB0092_3000_T"	"HKB0092_3000_T"	"CE8"	0.0134907837679642	0.019909804161173	TRUE	"CE8"
"HKB0102_3006_T"	"HKB0102_3006_T"	"CE8"	0.0745674504777982	0.0801166560947506	TRUE	"CE8"
"HKB0127_3000_N"	"HKB0127_3000_N"	"CE8"	0.0332639337942174	0.0415210460160007	TRUE	"CE8"
"HKB0141_3000_N"	"HKB0141_3000_N"	"CE8"	0.0276369785668223	0.0354674558274219	TRUE	"CE8"
"HKB0141_3006_T"	"HKB0141_3006_T"	"CE8"	0.0161190580102659	0.0228435730084137	TRUE	"CE8"
"HKB0158_3006_T"	"HKB0158_3006_T"	"CE8"	0.129959059106024	0.134020279703088	TRUE	"CE8"
"HKB0219_3001_T"	"HKB0219_3001_T"	"CE8"	0.0427577577653151	0.0511434188194872	TRUE	"CE8"
"HKB0222_3006_T"	"HKB0222_3006_T"	"CE8"	0.021498047875361	0.0293849056757892	TRUE	"CE8"
"HKB0226_3001_T"	"HKB0226_3001_T"	"CE8"	0.025178244789031	0.033235283121521	TRUE	"CE8"
"HKB0228_3002_T"	"HKB0228_3002_T"	"CE8"	0.0131265415385287	0.019562781260646	TRUE	"CE8"
"HKB0230_3006_T"	"HKB0230_3006_T"	"CE8"	0.0135317716593254	0.019909804161173	TRUE	"CE8"
"HKB0232_3000_T"	"HKB0232_3000_T"	"CE8"	0.0334325305583383	0.0415210460160007	TRUE	"CE8"
"HKB0233_3000_N"	"HKB0233_3000_N"	"CE8"	0.0458680849201996	0.0538565900461515	TRUE	"CE8"
